Elapsed Time (seconds),Temperature 1 (Celsius),Temperature 2 (Celsius),Temperature 3 (Celsius),Temperature 4 (Celsius),Temperature 5 (Celsius),Temperature 6 (Celsius),
111.503000,26.257955,26.064971,27.202304,26.979000,24.437927,23.949169,
112.037000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
112.572000,26.257955,26.182836,27.317935,26.979000,24.437927,23.460411,
113.106000,26.374904,26.064971,27.317935,26.979000,24.926685,23.460411,
113.642000,26.374904,26.182836,27.317935,26.979000,24.437927,23.460411,
114.177000,26.374904,26.182836,27.317935,26.979000,24.926685,23.460411,
114.711000,26.374904,26.300701,27.202304,26.979000,24.926685,23.460411,
115.246000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
115.780000,26.374904,26.182836,27.317935,26.979000,24.437927,23.460411,
116.315000,26.374904,26.064971,27.317935,26.979000,24.437927,22.971652,
116.849000,26.491855,26.064971,27.317935,26.979000,24.437927,23.460411,
117.384000,26.374904,26.182836,27.202304,26.979000,24.926685,23.460411,
117.918000,26.374904,26.182836,27.202304,26.979000,24.437927,23.949169,
118.453000,26.374904,26.182836,27.202304,26.979000,24.926685,23.460411,
118.987000,26.257955,26.182836,27.317935,26.979000,24.926685,23.949169,
119.523000,26.374904,26.064971,27.317935,26.979000,24.926685,23.460411,
120.057000,26.374904,26.182836,27.317935,26.979000,24.437927,23.949169,
120.592000,26.374904,26.182836,27.317935,26.979000,24.437927,23.460411,
121.126000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
121.661000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
122.195000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
122.730000,26.374904,26.182836,27.317935,26.979000,24.437927,23.460411,
123.265000,26.374904,26.064971,27.202304,26.979000,24.926685,23.460411,
123.799000,26.374904,26.064971,27.317935,26.979000,24.437927,23.949169,
124.334000,26.257955,26.182836,27.317935,26.979000,24.926685,23.460411,
124.868000,26.374904,26.064971,27.202304,26.979000,24.437927,23.460411,
125.404000,26.374904,26.182836,27.317935,26.979000,24.437927,23.460411,
125.938000,26.374904,26.064971,27.317935,26.979000,24.926685,23.460411,
126.473000,26.374904,26.064971,27.317935,26.979000,24.926685,23.460411,
127.007000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
127.542000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
128.076000,26.257955,26.182836,27.202304,26.979000,24.437927,23.460411,
128.611000,26.257955,26.182836,27.202304,26.979000,23.949169,22.971652,
129.145000,26.141004,26.182836,27.086673,26.979000,23.949169,22.971652,
129.679000,26.257955,26.064971,27.086673,26.979000,24.437927,23.460411,
130.212000,26.141004,26.064971,27.202304,26.979000,24.437927,22.971652,
130.747000,26.141004,26.182836,27.202304,26.979000,24.437927,22.971652,
131.282000,26.257955,26.182836,27.202304,26.979000,23.949169,22.971652,
131.817000,26.257955,26.182836,27.086673,26.979000,24.437927,22.971652,
132.350000,26.257955,26.182836,27.202304,26.979000,23.949169,22.971652,
132.885000,26.141004,26.182836,27.202304,26.979000,23.949169,22.971652,
133.420000,26.141004,26.182836,27.202304,26.979000,24.437927,22.971652,
133.954000,26.141004,26.064971,27.317935,26.979000,24.437927,22.971652,
134.489000,26.257955,26.064971,27.086673,26.979000,24.437927,22.971652,
135.023000,26.141004,26.064971,27.317935,26.979000,24.926685,23.949169,
135.558000,26.141004,26.182836,27.317935,26.979000,24.926685,23.460411,
136.092000,26.141004,26.182836,27.317935,26.979000,24.437927,23.460411,
136.627000,26.257955,26.182836,27.202304,26.979000,24.437927,23.460411,
137.162000,26.257955,26.064971,27.317935,26.979000,24.926685,23.460411,
137.697000,26.257955,26.182836,27.202304,26.979000,24.926685,23.949169,
138.231000,26.374904,26.182836,27.202304,26.979000,24.926685,23.949169,
138.766000,26.374904,26.182836,27.202304,26.979000,24.926685,23.460411,
139.300000,26.257955,26.182836,27.317935,26.979000,24.926685,23.949169,
139.835000,26.374904,26.182836,27.317935,26.979000,24.437927,23.949169,
140.369000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
140.904000,26.257955,26.182836,27.317935,26.979000,24.926685,23.949169,
141.438000,26.257955,26.182836,27.202304,26.979000,24.926685,23.949169,
141.973000,26.257955,26.182836,27.317935,26.979000,24.437927,23.949169,
142.509000,26.257955,26.182836,27.317935,26.979000,24.926685,23.949169,
143.043000,26.257955,26.182836,27.202304,26.979000,24.926685,23.949169,
143.578000,26.257955,26.182836,27.317935,26.979000,24.926685,23.949169,
144.112000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
144.647000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
145.181000,26.374904,26.182836,27.317935,26.979000,25.415443,23.460411,
145.716000,26.374904,26.064971,27.317935,26.979000,24.926685,23.949169,
146.250000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
146.785000,26.374904,26.300701,27.317935,26.979000,24.926685,23.949169,
147.319000,26.257955,26.300701,27.202304,26.979000,24.926685,23.949169,
147.854000,26.374904,26.182836,27.202304,26.979000,24.926685,23.460411,
148.389000,26.374904,26.064971,27.317935,26.979000,24.926685,23.949169,
148.924000,26.374904,26.182836,27.202304,26.979000,24.926685,23.949169,
149.458000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
149.993000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
150.528000,26.257955,26.182836,27.317935,26.979000,24.926685,23.949169,
151.062000,26.374904,26.182836,27.317935,26.979000,24.926685,23.460411,
151.597000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
152.131000,26.374904,26.064971,27.317935,26.979000,24.926685,23.949169,
152.666000,26.374904,26.064971,27.317935,26.979000,24.926685,23.949169,
153.200000,26.374904,26.182836,27.202304,26.979000,24.926685,23.949169,
153.735000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
154.270000,26.374904,26.064971,27.317935,26.979000,24.926685,23.460411,
154.805000,26.374904,26.064971,27.317935,26.979000,24.926685,23.949169,
155.339000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
155.874000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
156.408000,26.374904,26.182836,27.202304,26.979000,24.926685,23.949169,
156.943000,26.374904,26.182836,27.202304,26.979000,24.926685,23.949169,
157.477000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
158.012000,26.374904,26.064971,27.317935,26.979000,24.437927,23.949169,
158.546000,26.374904,26.064971,27.317935,26.979000,24.926685,23.460411,
159.081000,26.374904,26.182836,27.202304,26.979000,24.926685,23.949169,
159.616000,26.491855,26.064971,27.202304,26.979000,24.926685,23.949169,
160.151000,26.491855,26.182836,27.317935,26.979000,25.415443,23.949169,
160.686000,26.374904,26.182836,27.317935,26.979000,24.926685,23.460411,
161.220000,26.374904,26.064971,27.317935,26.979000,25.415443,23.460411,
161.755000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
162.289000,26.374904,26.064971,27.317935,26.979000,24.926685,23.949169,
162.824000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
163.358000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
163.893000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
164.427000,26.374904,26.064971,27.202304,26.979000,24.437927,23.460411,
164.962000,26.491855,26.064971,27.202304,26.979000,25.415443,23.460411,
165.496000,26.374904,26.064971,27.317935,26.979000,24.926685,23.949169,
166.032000,26.491855,25.947109,27.202304,26.979000,24.926685,23.949169,
166.566000,26.491855,26.064971,27.202304,26.979000,24.926685,23.460411,
167.101000,26.491855,26.064971,27.317935,26.979000,25.415443,23.460411,
167.635000,26.374904,26.182836,27.086673,26.979000,24.926685,23.949169,
168.170000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
168.705000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
169.239000,26.374904,26.182836,27.202304,26.979000,24.926685,23.949169,
169.774000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
170.308000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
170.843000,26.491855,26.182836,27.202304,26.979000,24.926685,23.460411,
171.377000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
171.913000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
172.447000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
172.982000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
173.516000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
174.051000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
174.585000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
175.120000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
175.654000,26.491855,26.064971,27.317935,26.979000,25.415443,23.949169,
176.189000,26.491855,26.182836,27.317935,26.979000,24.926685,23.460411,
176.723000,26.491855,26.182836,27.202304,26.979000,24.926685,23.460411,
177.259000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
177.794000,26.491855,26.300701,27.317935,26.979000,24.926685,23.949169,
178.328000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
178.863000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
179.397000,26.491855,26.182836,27.317935,26.979000,24.926685,23.460411,
179.932000,26.608806,26.064971,27.202304,26.979000,24.926685,22.971652,
180.466000,26.608806,26.182836,27.202304,26.979000,25.415443,23.460411,
181.001000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
181.535000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
182.070000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
182.604000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
183.140000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
183.674000,26.491855,26.064971,27.202304,26.979000,24.926685,23.949169,
184.209000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
184.743000,26.608806,25.947109,27.317935,26.979000,24.926685,23.949169,
185.278000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
185.812000,26.491855,26.064971,27.202304,26.979000,24.926685,23.460411,
186.347000,26.608806,26.182836,27.202304,26.979000,24.926685,23.949169,
186.882000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
187.416000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
187.951000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
188.485000,26.491855,26.182836,27.202304,26.979000,25.415443,23.949169,
189.021000,26.491855,26.182836,27.202304,26.979000,24.926685,23.460411,
189.555000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
190.090000,26.608806,26.064971,27.202304,26.979000,24.926685,23.949169,
190.624000,26.608806,26.064971,27.317935,26.979000,25.415443,23.949169,
191.159000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
191.693000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
192.228000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
192.762000,26.491855,26.182836,27.433565,26.979000,25.415443,23.949169,
193.297000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
193.831000,26.491855,26.182836,27.433565,26.979000,24.926685,23.949169,
194.366000,26.374904,26.182836,27.317935,26.979000,24.926685,23.949169,
194.902000,26.491855,26.182836,27.202304,26.979000,24.926685,23.460411,
195.436000,26.491855,26.182836,27.202304,26.979000,24.926685,23.460411,
195.971000,26.608806,26.182836,27.202304,26.979000,24.926685,23.949169,
196.505000,26.608806,26.182836,27.317935,26.979000,25.415443,23.460411,
197.040000,26.608806,26.182836,27.202304,26.979000,24.926685,23.949169,
197.574000,26.491855,26.182836,27.202304,26.979000,25.415443,23.949169,
198.109000,26.491855,26.182836,27.202304,26.979000,25.415443,23.460411,
198.643000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
199.178000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
199.712000,26.608806,26.182836,27.202304,26.979000,24.926685,23.460411,
200.248000,26.491855,26.182836,27.202304,26.979000,24.926685,23.949169,
200.782000,26.491855,26.182836,27.317935,26.979000,25.415443,23.949169,
201.317000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
201.851000,26.725755,26.064971,27.317935,26.979000,25.415443,23.949169,
202.386000,26.608806,26.182836,27.202304,26.979000,24.926685,23.460411,
202.920000,26.608806,26.064971,27.317935,26.979000,24.926685,23.949169,
203.455000,26.608806,26.182836,27.202304,26.979000,24.926685,23.949169,
203.990000,26.491855,26.182836,27.202304,26.979000,25.415443,23.460411,
204.524000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
205.059000,26.491855,26.064971,27.317935,26.979000,24.926685,23.949169,
205.593000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
206.129000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
206.663000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
207.198000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
207.732000,26.608806,26.182836,27.317935,26.979000,24.926685,22.971652,
208.267000,26.491855,26.182836,27.317935,26.979000,25.415443,23.460411,
208.801000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
209.336000,26.491855,26.182836,27.317935,26.979000,24.926685,23.949169,
209.870000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
210.405000,26.608806,26.064971,27.433565,26.979000,24.926685,23.460411,
210.939000,26.608806,26.064971,27.317935,26.979000,24.926685,23.460411,
211.474000,26.608806,26.182836,27.317935,26.979000,24.926685,22.971652,
212.009000,26.491855,26.300701,27.317935,26.979000,24.926685,23.949169,
212.544000,26.491855,26.182836,27.317935,26.979000,25.415443,23.949169,
213.079000,26.608806,26.182836,27.317935,26.979000,25.415443,23.949169,
213.613000,26.608806,26.182836,27.433565,26.979000,24.926685,23.949169,
214.148000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
214.682000,26.608806,26.182836,27.202304,26.979000,24.926685,23.949169,
215.217000,26.608806,26.300701,27.317935,26.979000,24.926685,23.949169,
215.751000,26.608806,26.182836,27.433565,26.979000,24.926685,23.949169,
216.286000,26.608806,26.064971,27.433565,26.979000,24.926685,23.949169,
216.820000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
217.356000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
217.890000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
218.425000,26.608806,26.064971,27.317935,26.979000,24.926685,23.949169,
218.959000,26.608806,26.064971,27.317935,26.979000,24.926685,23.949169,
219.494000,26.608806,26.064971,27.317935,26.979000,24.926685,23.949169,
220.028000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
220.563000,26.725755,26.182836,27.433565,26.979000,24.926685,23.460411,
221.097000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
221.632000,26.608806,26.182836,27.317935,26.979000,25.415443,23.949169,
222.167000,26.608806,26.182836,27.317935,26.979000,25.415443,23.460411,
222.701000,26.608806,26.182836,27.317935,26.979000,25.415443,23.949169,
223.237000,26.608806,26.300701,27.317935,26.979000,24.926685,23.460411,
223.771000,26.608806,26.182836,27.433565,26.979000,24.926685,23.460411,
224.306000,26.608806,26.300701,27.317935,26.979000,24.926685,23.460411,
224.840000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
225.375000,26.608806,26.300701,27.317935,26.979000,25.415443,23.949169,
225.909000,26.608806,26.182836,27.433565,26.979000,24.926685,23.460411,
226.444000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
226.978000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
227.513000,26.608806,26.182836,27.202304,26.979000,24.926685,23.460411,
228.047000,26.608806,26.300701,27.317935,26.979000,24.926685,23.460411,
